RA,DEC
19.9274,-26.8653
20.1453,-26.846
20.2122,-26.8494
20.1621,-26.8471
20.1319,-26.858
20.1587,-26.8477
19.8776,-26.8473
19.9735,-26.8454
19.9005,-26.8455
20.2566,-26.8463
20.2875,-26.8465
20.0072,-26.8477
19.9961,-26.8453
20.0474,-26.8454
19.9072,-26.8453
19.994,-26.8456
20.3002,-26.8453
20.0827,-26.8456
20.0658,-26.8456
20.3025,-26.8454
20.3203,-26.8454
20.2204,-26.8456
20.2472,-26.8455
19.7597,-26.8454
19.7826,-26.8455
20.2935,-26.8455
20.1821,-26.8471
20.167,-26.8457
19.9477,-26.8458
19.8561,-26.8456
19.9922,-26.8459
20.0616,-26.8463
20.1612,-26.8459
19.7629,-26.8456
20.3008,-26.8457
19.9498,-26.8459
19.754,-26.8466
20.2795,-26.8458
20.2318,-26.8459
20.1432,-26.8461
19.8054,-26.8458
20.059,-26.8459
19.8033,-26.8462
19.8788,-26.846
19.9017,-26.8461
20.041,-26.8462
20.3589,-26.8459
20.0436,-26.8462
19.8687,-26.8461
19.8697,-26.8461
19.8217,-26.846
19.8656,-26.8463
19.9869,-26.8463
19.8511,-26.8462
20.0647,-26.8474
20.111,-26.8464
20.1299,-26.848
19.9977,-26.8465
20.0759,-26.8466
20.1834,-26.8466
20.32,-26.8465
20.338,-26.8464
19.96,-26.8467
20.2291,-26.8466
19.8186,-26.8464
20.1549,-26.8468
19.8704,-26.8466
20.0121,-26.8549
20.03,-26.8477
20.2124,-26.8468
20.1571,-26.8474
20.1176,-26.8468
19.764,-26.8466
20.0125,-26.8485
20.1006,-26.8469
19.8236,-26.8468
20.0481,-26.847
20.2476,-26.8469
20.2277,-26.8469
19.7874,-26.8468
19.8528,-26.8469
19.9444,-26.847
19.9421,-26.847
20.2388,-26.847
20.1053,-26.8478
20.3515,-26.8469
19.9202,-26.8472
19.8139,-26.847
19.8159,-26.8471
19.9164,-26.8472
19.8914,-26.8473
20.2298,-26.8472
19.8078,-26.8472
20.1756,-26.8502
20.3321,-26.8471
20.2483,-26.8473
20.011,-26.8474
19.8828,-26.8476
20.3114,-26.8472
20.0319,-26.8475
20.1783,-26.8475
20.0284,-26.85
19.9767,-26.8476
19.9269,-26.8476
19.917,-26.8476
19.862,-26.8475
20.0194,-26.8478
20.3718,-26.8474
20.3363,-26.8477
19.8712,-26.8483
20.3091,-26.8478
20.2725,-26.8479
19.9153,-26.8479
20.2488,-26.8479
20.0214,-26.848
19.8006,-26.8482
20.1913,-26.8479
19.9224,-26.848
19.8644,-26.848
20.3279,-26.8478
20.1974,-26.8481
19.851,-26.8482
20.1634,-26.8481
20.3116,-26.848
19.7614,-26.8479
19.8301,-26.848
19.9732,-26.8482
20.1494,-26.8483
20.2678,-26.8488
20.0029,-26.8484
19.9035,-26.8484
19.9334,-26.8483
19.9069,-26.8484
19.9259,-26.8484
19.7891,-26.8482
20.1614,-26.8485
20.0362,-26.8485
20.3663,-26.8482
19.7673,-26.8483
19.8364,-26.8485
19.9992,-26.8486
20.3151,-26.8484
19.905,-26.8486
20.2051,-26.8486
19.9136,-26.849
20.3526,-26.8485
20.2909,-26.8485
20.3045,-26.8492
